-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1989 through 12/31/2019 
Location: Latitude  36.7286   Longitude 68.8681 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 575.09 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MAX,T2M_MIN,T2M
36.72861,68.86811,1989,05,27,    0.00,   35.76,   18.57,   27.94
36.72861,68.86811,1989,05,28,    0.00,   37.78,   19.32,   29.30
36.72861,68.86811,1989,05,29,    0.00,   38.52,   22.03,   30.44
36.72861,68.86811,1989,05,30,    0.00,   38.01,   21.12,   30.25
36.72861,68.86811,1989,05,31,    0.00,   38.07,   22.45,   30.76
36.72861,68.86811,1989,06,01,    0.00,   39.92,   21.96,   31.96
36.72861,68.86811,1989,06,02,    0.00,   38.64,   25.14,   31.46
36.72861,68.86811,1989,06,03,    0.00,   37.94,   23.44,   30.53
36.72861,68.86811,1989,06,04,    0.01,   37.23,   19.91,   29.30
36.72861,68.86811,1989,06,05,    0.05,   36.89,   20.96,   29.09
36.72861,68.86811,1989,06,06,    0.09,   34.80,   19.62,   27.54
36.72861,68.86811,1989,06,07,    0.04,   35.42,   18.51,   27.71
36.72861,68.86811,1989,06,08,    0.12,   36.37,   20.91,   27.79
36.72861,68.86811,1989,06,09,    0.09,   35.26,   18.09,   27.10
36.72861,68.86811,1989,06,10,    0.03,   35.96,   19.19,   28.21
36.72861,68.86811,1989,06,11,    0.12,   37.57,   18.63,   28.89
36.72861,68.86811,1989,06,12,    0.00,   39.58,   23.24,   31.53
36.72861,68.86811,1989,06,13,    0.04,   38.17,   22.95,   30.58
36.72861,68.86811,1989,06,14,    0.00,   35.46,   20.49,   28.59
