-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1989 through 12/31/2019 
Location: Latitude  34.5553   Longitude 69.2075 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 2381.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MAX,T2M_MIN,T2M
34.55531,69.20751,1989,08,22,    0.01,   28.25,   10.81,   18.95
34.55531,69.20751,1989,08,23,    2.19,   28.93,   10.06,   19.24
34.55531,69.20751,1989,08,24,    3.02,   27.25,   10.47,   18.33
34.55531,69.20751,1989,08,25,    1.14,   27.87,    9.78,   18.45
34.55531,69.20751,1989,08,26,    0.23,   25.97,    9.48,   17.46
34.55531,69.20751,1989,08,27,    0.08,   22.92,    8.70,   15.41
34.55531,69.20751,1989,08,28,    0.02,   22.65,    6.76,   14.11
34.55531,69.20751,1989,08,29,    0.19,   23.20,    5.34,   14.09
34.55531,69.20751,1989,08,30,    0.00,   24.74,    5.71,   15.14
34.55531,69.20751,1989,08,31,    0.00,   23.26,    7.29,   14.85
34.55531,69.20751,1989,09,01,    0.00,   25.32,    6.36,   15.43
34.55531,69.20751,1989,09,02,    0.00,   28.35,    8.15,   17.62
34.55531,69.20751,1989,09,03,    0.00,   28.79,    8.47,   17.80
34.55531,69.20751,1989,09,04,    0.00,   25.79,    7.61,   15.90
34.55531,69.20751,1989,09,05,    0.00,   24.15,    5.87,   14.09
34.55531,69.20751,1989,09,06,    0.00,   24.93,    4.83,   13.85
34.55531,69.20751,1989,09,07,    0.00,   26.09,    4.46,   14.55
34.55531,69.20751,1989,09,08,    0.00,   26.67,    4.94,   15.54
34.55531,69.20751,1989,09,09,    0.00,   27.73,    7.26,   17.06
34.55531,69.20751,1989,09,10,    0.00,   29.05,    8.85,   18.31
34.55531,69.20751,1989,09,11,    0.00,   28.43,    8.20,   18.26
34.55531,69.20751,1989,09,12,    0.00,   26.48,    9.98,   17.69
34.55531,69.20751,1989,09,13,    2.52,   27.23,    8.55,   16.91
34.55531,69.20751,1989,09,14,    0.00,   27.94,    7.38,   16.99
34.55531,69.20751,1989,09,15,    0.00,   28.35,    7.43,   17.19
34.55531,69.20751,1989,09,16,    0.00,   27.61,    8.31,   17.06
34.55531,69.20751,1989,09,17,    0.00,   25.96,    7.67,   15.87
34.55531,69.20751,1989,09,18,    0.00,   28.51,    7.11,   16.97
